"session_id","referrer","sex","d_art","iat_exclude"
2401243,"brasilia","m",0.148091303640694,"Include"
2401244,"brasilia","m",0.628534908223034,"Include"
2401246,"brasilia","f",0.497773627187534,"Include"
2401249,"brasilia","f",0.399944725186624,"Include"
2401250,"brasilia","f",0.831463203279499,"Include"
2401251,"brasilia","m",1.14515285044576,"Include"
2401252,"brasilia","f",0.905705378958374,"Include"
2401255,"brasilia","m",-0.206176266953363,"Include"
2401257,"brasilia","m",0.200640401472218,"Include"
2401258,"brasilia","f",0.482608970164637,"Include"
2401259,"brasilia","f",0.604848245571286,"Include"
2401260,"brasilia","f",1.07617845272677,"Include"
2401261,"brasilia","f",0.565046056716216,"Include"
2401305,"brasilia","f",1.02394741535985,"Include"
2401306,"brasilia","m",0.435638540764854,"Include"
2401308,"brasilia","m",-0.582047737351301,"Include"
2401309,"brasilia","f",0.577951132431189,"Include"
2401312,"brasilia","m",0.425430835491504,"Include"
2401316,"brasilia","f",0.68121844634187,"Include"
2401320,"brasilia","m",0.207019754651732,"Include"
2401322,"brasilia","f",0.433796108146286,"Include"
2401325,"brasilia","f",0.562351122135927,"Include"
2401328,"brasilia","m",0.155285174924906,"Include"
2401329,"brasilia","f",0.595107900873003,"Include"
2401335,"brasilia","m",-0.323558943055664,"Include"
2401336,"brasilia","f",0.966658801295373,"Include"
2401341,"brasilia","f",1.20431890795326,"Include"
2401343,"brasilia","m",0.814887238878465,"Include"
2401352,"brasilia","f",-0.0498162444793613,"Include"
2401368,"brasilia","f",1.27945080648417,"Include"
2401371,"brasilia","m",0.369693815330185,"Include"
2401380,"brasilia","m",1.18504815876135,"Include"
2401382,"brasilia","m",0.0971387584916578,"Include"
2401385,"brasilia","m",0.181213039042686,"Include"
2401388,"brasilia","f",0.681005460716173,"Include"
2401389,"brasilia","m",1.25161334150371,"Include"
2401390,"brasilia","f",0.655637402070699,"Include"
2401391,"brasilia","m",0.950125117000459,"Include"
2401393,"brasilia","f",-0.538215428761065,"Include"
2401396,"brasilia","f",0.42336515892629,"Include"
2401398,"brasilia","m",0.463642974312488,"Include"
2401399,"brasilia","m",0.74425980679814,"Include"
2401400,"brasilia","f",0.901996832899983,"Include"
2401402,"brasilia","f",1.17570730265225,"Include"
2401405,"brasilia","f",1.05140061786595,"Include"
2401417,"brasilia","f",0.482567443042544,"Include"
2401440,"brasilia","m",-0.118708694192993,"Include"
2401462,"brasilia","m",0.0678824707816598,"Include"
2401463,"brasilia","f",0.87621991030223,"Include"
2401464,"brasilia","m",0.086287327666378,"Include"
2401466,"brasilia","f",0.0498842762383533,"Include"
2401472,"brasilia","m",0.55375479899872,"Include"
2401476,"brasilia","f",0.686143357044475,"Include"
2401485,"brasilia","f",1.01411814519609,"Include"
2401488,"brasilia","f",0.896619069894684,"Include"
2401489,"brasilia","f",-0.0482169914644856,"Include"
2401494,"brasilia","f",0.957428402789574,"Include"
2401495,"brasilia","f",0.772595193017638,"Include"
2401497,"brasilia","m",1.48970491863831,"Include"
2402832,"brasilia","m",0.489268028745202,"Include"
2404006,"brasilia","f",0.749070403743092,"Include"
2413394,"brasilia","f",1.14677290762104,"Include"
2413458,"brasilia","f",0.742473281111524,"Include"
2422247,"brasilia","f",0.164251046571043,"Include"
2422422,"brasilia","f",0.632475618013787,"Include"
