"session_id","referrer","sex","d_art","iat_exclude"
2456203,"laurier","f",1.31136663419599,"Include"
2456205,"laurier","m",0.224014241812719,"Include"
2456209,"laurier","f",0.587115887615485,"Include"
2456213,"laurier","f",0.689397320108234,"Include"
2456214,"laurier","m",0.316009008379085,"Include"
2456219,"laurier","m",0.149428093171316,"Include"
2456221,"laurier","f",-0.089982316234224,"Include"
2456222,"laurier","f",0.925375411214728,"Include"
2456225,"laurier","m",0.575028469641014,"Include"
2456226,"laurier","f",1.12859072615198,"Include"
2456229,"laurier","m",0.509353899961056,"Include"
2456230,"laurier","m",0.158269759813634,"Include"
2456232,"laurier","f",0.78240343326932,"Include"
2456236,"laurier","f",0.779817166323413,"Include"
2456283,"laurier","m",-0.322753904296228,"Include"
2456285,"laurier","f",-0.183549245470501,"Include"
2456287,"laurier","f",1.15614303423915,"Include"
2456289,"laurier","m",0.423861363301949,"Include"
2456292,"laurier","m",-0.248346609007271,"Include"
2456297,"laurier","f",0.942280193470928,"Include"
2456298,"laurier","m",1.0354021994581,"Include"
2456299,"laurier","m",-0.3538122292416,"Include"
2456300,"laurier","f",-0.114054449834555,"Include"
2456302,"laurier","m",0.147890757712109,"Include"
2456304,"laurier","m",0.241547190993632,"Include"
2456305,"laurier","m",0.130714372791265,"Include"
2456308,"laurier","f",1.26810958427677,"Include"
2456310,"laurier","f",0.646525539831461,"Include"
2456345,"laurier","m",-0.452938251032235,"Include"
2456354,"laurier","f",0.159718370204618,"Include"
2456356,"laurier","m",0.40559118315163,"Include"
2456357,"laurier","m",0.629629594167996,"Include"
2456358,"laurier","f",0.0246777566159963,"Include"
2456359,"laurier","m",-0.639934383844453,"Include"
2456361,"laurier","m",0.606378099564616,"Include"
2456364,"laurier","f",0.87413041892394,"Include"
2456367,"laurier","m",-0.199225810171026,"Include"
2456368,"laurier","f",0.700797154513511,"Include"
2456369,"laurier","f",1.05253508118987,"Include"
2456370,"laurier","m",0.716977850989537,"Include"
2456372,"laurier","f",0.741098673249376,"Include"
2456375,"laurier","m",0.533269419656436,"Include"
2456383,"laurier","m",0.287324091699951,"Include"
2456386,"laurier","f",0.147070636992724,"Include"
2456493,"laurier","f",0.382757065797459,"Include"
2456495,"laurier","m",0.180408211624223,"Include"
2456496,"laurier","f",0.725504585298727,"Include"
2456499,"laurier","f",0.373295098975436,"Include"
2456502,"laurier","m",-0.198075284582705,"Include"
2456503,"laurier","f",1.09227333378148,"Include"
2456504,"laurier","m",0.580542107267923,"Include"
2456505,"laurier","m",0.280236680921121,"Include"
2456507,"laurier","f",0.18349390563554,"Include"
2456508,"laurier","m",-0.438181168988121,"Include"
2456509,"laurier","f",0.0822184208672981,"Include"
2456510,"laurier","f",1.09480745368019,"Include"
2456513,"laurier","f",0.505348133799974,"Include"
2456514,"laurier","m",1.37238552240182,"Include"
2456517,"laurier","f",0.015896703950353,"Include"
2456518,"laurier","f",0.628122173827235,"Include"
2456536,"laurier","m",-0.525840543648214,"Include"
2456583,"laurier","f",0.183765515580614,"Include"
2456586,"laurier","f",1.09323635846785,"Include"
2456590,"laurier","f",0.980415805761683,"Include"
2456591,"laurier","m",-0.0389955386143092,"Include"
2456592,"laurier","f",0.784702773494655,"Include"
2456593,"laurier","f",1.07829898557481,"Include"
2456594,"laurier","f",-0.0522192955508677,"Include"
2456596,"laurier","m",-0.0798118860547582,"Include"
2456598,"laurier","f",0.951906370476275,"Include"
2456601,"laurier","m",0.314392748586202,"Include"
2456602,"laurier","m",-0.0705199604532791,"Include"
2456603,"laurier","f",0.465015930161102,"Include"
2456605,"laurier","m",-0.844611860125558,"Include"
2456606,"laurier","m",0.523788550299723,"Include"
2456612,"laurier","m",0.417801327943313,"Include"
2456617,"laurier","f",1.11170096904499,"Include"
2456639,"laurier","f",0.961377519717829,"Include"
2456685,"laurier","m",0.206202356510494,"Include"
2456686,"laurier","m",0.530428745950957,"Include"
2456687,"laurier","m",-0.366374775357225,"Include"
2456689,"laurier","m",-0.154781752992334,"Include"
2456692,"laurier","m",-0.332401988712043,"Include"
2456697,"laurier","m",0.243434968700595,"Include"
2456700,"laurier","f",0.61191114522718,"Include"
2456701,"laurier","f",0.817694471554765,"Include"
2456702,"laurier","m",0.0754893643522561,"Include"
2456703,"laurier","f",0.276575500352194,"Include"
2456711,"laurier","m",0.0433674074051084,"Include"
2456715,"laurier","f",0.428024002144232,"Include"
2456717,"laurier","f",0.410487404069031,"Include"
2456718,"laurier","f",0.517100928797146,"Include"
2456757,"laurier","f",0.532125110251908,"Include"
2456759,"laurier","f",0.666365021853117,"Include"
2456760,"laurier","f",0.621113258043324,"Include"
2456763,"laurier","f",0.0604261842797026,"Include"
2456768,"laurier","f",-0.0773434493651098,"Include"
2456770,"laurier","f",0.225686013622484,"Include"
2456772,"laurier","m",0.584205461696959,"Include"
2456776,"laurier","f",0.951984015052033,"Include"
2456779,"laurier","f",0.086717596315924,"Include"
2456781,"laurier","f",0.912811650659931,"Include"
2456783,"laurier","f",0.407373801409723,"Include"
2456787,"laurier","m",0.398055857715804,"Include"
2456790,"laurier","m",0.730732460193742,"Include"
2456797,"laurier","m",-0.0160388670257975,"Include"
2456805,"laurier","f",-0.086159908180362,"Include"
2456807,"laurier","f",0.708626137409378,"Include"
