"session_id","referrer","sex","d_art","iat_exclude"
2484525,"psu","f",0.574682742292909,"Include"
2484526,"psu","f",-0.846838457884587,"Include"
2484535,"psu","f",0.392278957150363,"Include"
2484537,"psu","f",0.655913284254821,"Include"
2484538,"psu","f",0.908750889707416,"Include"
2484548,"psu","f",0.412019274169002,"Include"
2484626,"psu","f",0.300355526216755,"Include"
2484631,"psu","f",0.0376637531473566,"Include"
2484633,"psu","f",0.8716156481227,"Include"
2484635,"psu","f",0.604775360350302,"Include"
2484650,"psu","f",0.896933163167894,"Include"
2484726,"psu","f",0.325700851191798,"Include"
2484730,"psu","f",-0.857806754335702,"Include"
2484746,"psu","f",0.0602493936892186,"Include"
2484761,"psu","f",0.703158608854933,"Include"
2484762,"psu","f",0.638862906859132,"Include"
2484765,"psu","m",0.920201071425493,"Include"
2484829,"psu","f",1.04178994976986,"Include"
2484831,"psu","m",0.470659259710372,"Include"
2484832,"psu","m",0.225176415653492,"Include"
2484833,"psu","f",-0.677438654483547,"Include"
2484835,"psu","f",0.532832742892189,"Include"
2484850,"psu","f",0.108773006017051,"Include"
2484921,"psu","f",0.340124513664857,"Include"
2484923,"psu","f",1.45754136824285,"Include"
2484927,"psu","f",0.859481041255904,"Include"
2484936,"psu","f",0.610576776166716,"Include"
2484944,"psu","f",0.572622004646341,"Include"
2490490,"psu","f",-0.0727431693246238,"Include"
2490493,"psu","f",0.447154721785011,"Include"
2490496,"psu","m",0.39828345389247,"Include"
2490499,"psu","f",0.723653577929411,"Include"
2490501,"psu","f",0.0286241805004215,"Include"
2490558,"psu","f",0.438378268006902,"Include"
2490564,"psu","f",-0.221542862772947,"Include"
2490571,"psu","f",-0.25533504899157,"Include"
2490574,"psu","f",1.04235006172758,"Include"
2490582,"psu","f",0.187479793585773,"Include"
2490586,"psu","f",0.839773778606149,"Include"
2490616,"psu","f",-0.0913409987788909,"Include"
2490617,"psu","f",0.389534695170208,"Include"
2490624,"psu","f",0.578549598584995,"Include"
2490644,"psu","f",0.513237970526658,"Include"
2490651,"psu","f",0.794268870387338,"Include"
2490658,"psu","f",1.04933573037564,"Include"
2490661,"psu","f",1.19292393812361,"Include"
2490664,"psu","f",0.702828397773508,"Include"
2490682,"psu","f",1.0682774086124,"Include"
2490703,"psu","f",1.05974940040485,"Include"
2490730,"psu","f",0.765613492458358,"Include"
2490736,"psu","m",-0.373709959434005,"Include"
2490738,"psu","f",0.701399701264621,"Include"
2490741,"psu","f",1.2654712061484,"Include"
2490743,"psu","f",0.401997114817971,"Include"
2490756,"psu","m",0.396316701650694,"Include"
2490791,"psu","m",-0.251950025060196,"Include"
2492277,"psu","m",0.831390123068503,"Include"
2492280,"psu","f",-0.422412814909654,"Include"
2492283,"psu","f",1.1138949469137,"Include"
2492337,"psu","m",-0.326410448844605,"Include"
2492339,"psu","f",0.393224783995705,"Include"
2492340,"psu","f",0.448479585266725,"Include"
2492360,"psu","f",-0.183526398054877,"Include"
2492363,"psu","m",-0.333648845323986,"Include"
2492365,"psu","f",0.441570537557484,"Include"
2492377,"psu","m",-0.396988340578468,"Include"
2492422,"psu","f",0.083619763016925,"Include"
2492424,"psu","f",-0.280568386309072,"Include"
2492428,"psu","f",1.13558481905683,"Include"
2492477,"psu","f",1.01559706627234,"Include"
2492498,"psu","m",0.0306428836069307,"Include"
2492499,"psu","m",0.489708636462268,"Include"
2493991,"psu","f",0.212135083411587,"Include"
2493995,"psu","f",0.682533359394492,"Include"
2493998,"psu","m",0.715863010526976,"Include"
2493999,"psu","f",-0.431775691907159,"Include"
2494001,"psu","f",1.05921250580492,"Include"
2494004,"psu","f",0.555977267513457,"Include"
2494055,"psu","f",1.1588812216478,"Include"
2494062,"psu","f",0.93697963007957,"Include"
2494064,"psu","f",0.726343433495817,"Include"
2494069,"psu","f",-0.19262347464379,"Include"
2494070,"psu","f",0.710814721017543,"Include"
2494092,"psu","f",0.156886106375226,"Include"
2494117,"psu","f",0.354937900811605,"Include"
2494131,"psu","f",-0.433203194051764,"Include"
2494135,"psu","m",-0.107848728593587,"Include"
2494139,"psu","f",0.71266897566675,"Include"
2494171,"psu","f",0.265774968095524,"Include"
