"session_id","referrer","sex","d_art","iat_exclude"
2436706,"sdsu","f",0.904443197847232,"Include"
2436967,"sdsu","f",-0.474026249525864,"Include"
2440429,"sdsu","f",0.468408624495417,"Include"
2440430,"sdsu","f",-0.025224118333376,"Include"
2440431,"sdsu","m",0.13681316782938,"Include"
2440596,"sdsu","f",0.619844296012312,"Include"
2440598,"sdsu","f",0.889105574615647,"Include"
2440621,"sdsu","m",0.070963611798047,"Include"
2440623,"sdsu","f",0.223966081214308,"Include"
2440734,"sdsu","m",0.309998943414997,"Include"
2440737,"sdsu","f",1.22659444155111,"Include"
2440740,"sdsu","f",0.0922071161335504,"Include"
2440881,"sdsu","f",-0.0129157479563909,"Include"
2440883,"sdsu","f",1.03151540407984,"Include"
2440885,"sdsu","f",0.371781913061927,"Include"
2443108,"sdsu","f",0.595797204762438,"Include"
2443109,"sdsu","m",1.21202847114825,"Include"
2443110,"sdsu","m",0.379568119250595,"Include"
2443367,"sdsu","f",0.624128338887089,"Include"
2443371,"sdsu","m",0.0617425386035406,"Include"
2443373,"sdsu","f",-0.284608636410549,"Include"
2443376,"sdsu","f",0.0299628947972142,"Include"
2443761,"sdsu","f",1.00963345576833,"Include"
2443763,"sdsu","f",0.887206991897282,"Include"
2443765,"sdsu","f",0.409720367047666,"Include"
2443767,"sdsu","m",0.323800452460599,"Include"
2443879,"sdsu","f",-0.11156993135086,"Include"
2443882,"sdsu","f",0.0983087337528266,"Include"
2443887,"sdsu","f",0.894361538025498,"Include"
2445906,"sdsu","m",0.748543993509036,"Include"
2445908,"sdsu","f",1.28209452350395,"Include"
2445912,"sdsu","f",0.583312498893359,"Include"
2445951,"sdsu","f",0.0503502002941256,"Include"
2446069,"sdsu","m",-0.0612958169386044,"Include"
2446072,"sdsu","f",1.22462644664655,"Include"
2446074,"sdsu","m",0.477610810484695,"Include"
2446076,"sdsu","f",-0.637520176184266,"Include"
2447580,"sdsu","f",1.0845133705549,"Include"
2447581,"sdsu","f",0.310057191464617,"Include"
2447582,"sdsu","m",0.127021031786138,"Include"
2447591,"sdsu","f",0.0755107968324362,"Include"
2447692,"sdsu","f",0.792183922639349,"Include"
2447693,"sdsu","f",0.503712411886231,"Include"
2447744,"sdsu","f",-0.078698379536574,"Include"
2447904,"sdsu","m",-0.736055602068152,"Include"
2447907,"sdsu","f",0.0922759369834423,"Include"
2448199,"sdsu","m",0.853407521025497,"Include"
2448202,"sdsu","f",0.65026459913697,"Include"
2448203,"sdsu","f",0.785239660267358,"Include"
2448352,"sdsu","m",-0.376164010130511,"Include"
2448354,"sdsu","m",-0.589417758615675,"Include"
2448355,"sdsu","f",0.984080307176364,"Include"
2448359,"sdsu","f",-0.297976733336315,"Include"
2448429,"sdsu","f",0.81446659694138,"Include"
2448433,"sdsu","f",1.20046690590821,"Include"
2452411,"sdsu","f",0.989218178345392,"Include"
2452413,"sdsu","m",0.829009396677711,"Include"
2452422,"sdsu","f",0.670974834240494,"Include"
2452479,"sdsu","f",0.754747201853064,"Include"
2452480,"sdsu","f",1.15051160807706,"Include"
2452481,"sdsu","f",0.999796367992588,"Include"
2452747,"sdsu","m",0.601028874438915,"Include"
2452749,"sdsu","m",0.346740673599916,"Include"
2452750,"sdsu","f",0.813845087384778,"Include"
2452842,"sdsu","f",0.180257394863378,"Include"
2452844,"sdsu","f",0.272784473929731,"Include"
2452845,"sdsu","f",-0.108122996606615,"Include"
2452849,"sdsu","f",-0.99976314906803,"Include"
2452928,"sdsu","f",0.874062352421685,"Include"
2452930,"sdsu","m",0.584868382901071,"Include"
2452932,"sdsu","f",1.05814530145451,"Include"
2454751,"sdsu","f",-0.637158098298185,"Include"
2454752,"sdsu","m",-0.074496353167082,"Include"
2454753,"sdsu","f",0.617863600855005,"Include"
2455017,"sdsu","f",-0.197179847615908,"Include"
2455019,"sdsu","f",0.0835328574117341,"Include"
2455106,"sdsu","f",-0.432987223150084,"Include"
2455109,"sdsu","f",0.538302325066082,"Include"
2455110,"sdsu","f",1.00742590037133,"Include"
2455111,"sdsu","f",0.343357437453469,"Include"
2456774,"sdsu","f",0.53409367913662,"Include"
2456780,"sdsu","f",0.86035573899944,"Include"
2456782,"sdsu","f",0.0772266273724009,"Include"
2456795,"sdsu","f",0.691035120912876,"Include"
2456913,"sdsu","f",0.54655716793643,"Include"
2456914,"sdsu","f",0.177914795524577,"Include"
2456915,"sdsu","f",0.800607505626302,"Include"
2456917,"sdsu","f",0.559917040107678,"Include"
2457081,"sdsu","f",1.15671914039964,"Include"
2457083,"sdsu","m",0.16316139518316,"Include"
2457192,"sdsu","f",1.10329162196288,"Include"
2457193,"sdsu","m",-0.274665395266871,"Include"
2457195,"sdsu","f",0.97057063695364,"Include"
2457197,"sdsu","f",-0.447869211776714,"Include"
2457342,"sdsu","f",0.886448513161267,"Include"
