"session_id","referrer","sex","d_art","iat_exclude"
2421401,"tamu","f",0.664041725111308,"Include"
2421408,"tamu","m",0.283308523993331,"Include"
2421415,"tamu","f",0.91158826941891,"Include"
2421419,"tamu","f",0.40696665529881,"Include"
2421535,"tamu","f",0.145321869058262,"Include"
2421543,"tamu","f",-0.0254773904848321,"Include"
2421547,"tamu","f",-0.598591703353325,"Include"
2421553,"tamu","f",-0.234003128597057,"Include"
2421557,"tamu","f",0.633038243273335,"Include"
2421562,"tamu","f",0.275850674604392,"Include"
2421667,"tamu","m",1.09332664233897,"Include"
2421669,"tamu","f",0.277646611988879,"Include"
2421671,"tamu","f",1.34602268533669,"Include"
2421672,"tamu","m",0.626694361312881,"Include"
2421674,"tamu","m",-0.258768743880597,"Include"
2421678,"tamu","f",-0.425970181744764,"Include"
2421853,"tamu","m",0.512523573588909,"Include"
2421858,"tamu","m",0.749689501142717,"Include"
2421859,"tamu","f",0.226278986130189,"Include"
2421862,"tamu","f",1.0737853548627,"Include"
2421868,"tamu","f",0.384224372593037,"Include"
2421869,"tamu","m",0.240880565160864,"Include"
2421991,"tamu","m",0.0120115124702996,"Include"
2421993,"tamu","m",0.256046565151293,"Include"
2421995,"tamu","f",-0.617205533837609,"Include"
2421999,"tamu","f",0.545694819426352,"Include"
2422000,"tamu","f",-0.0587325835921625,"Include"
2422002,"tamu","f",0.197578901840806,"Include"
2422125,"tamu","m",-0.992063143395508,"Include"
2422126,"tamu","m",-0.674785395852487,"Include"
2422127,"tamu","m",0.130744543555542,"Include"
2422128,"tamu","f",1.2310406321402,"Include"
2422131,"tamu","m",0.783933742025447,"Include"
2422135,"tamu","m",0.128625604082532,"Include"
2422245,"tamu","f",0.128833987724435,"Include"
2422249,"tamu","f",0.245832941230336,"Include"
2422252,"tamu","f",0.510968160168337,"Include"
2422437,"tamu","f",-0.137226092076677,"Include"
2422444,"tamu","f",0.210926368874992,"Include"
2422449,"tamu","f",-0.44574579266478,"Include"
2422459,"tamu","m",-0.129612316121699,"Include"
2422461,"tamu","m",0.199180251493144,"Include"
2422679,"tamu","f",-0.11654006462232,"Include"
2422682,"tamu","m",0.0142430320728609,"Include"
2422684,"tamu","f",0.239047611679037,"Include"
2422687,"tamu","f",0.0109200762295434,"Include"
2422689,"tamu","f",0.599788305576147,"Include"
2422857,"tamu","m",1.09561252278609,"Include"
2422861,"tamu","f",0.942663155351677,"Include"
2422867,"tamu","f",0.321880196304743,"Include"
2422874,"tamu","m",-0.644839480701106,"Include"
2422877,"tamu","f",0.611328693936751,"Include"
2422882,"tamu","m",0.527586011497321,"Include"
2423034,"tamu","f",0.519839183516767,"Include"
2423038,"tamu","f",0.675789991675643,"Include"
2423251,"tamu","f",0.641934962091293,"Include"
2423254,"tamu","f",1.02041570526848,"Include"
2423256,"tamu","f",0.59190347028016,"Include"
2423258,"tamu","f",0.640543274487797,"Include"
2423262,"tamu","m",0.89150090828883,"Include"
2423266,"tamu","f",0.0157107439059822,"Include"
2425458,"tamu","f",-0.226554198551763,"Include"
2425485,"tamu","f",0.048921073916998,"Include"
2425490,"tamu","f",0.995420347816936,"Include"
2425493,"tamu","f",0.469984583696858,"Include"
2425497,"tamu","f",0.929728435664453,"Include"
2425499,"tamu","f",0.642895077337314,"Include"
2425602,"tamu","m",-0.27000184108769,"Include"
2425606,"tamu","f",0.743314064205513,"Include"
2425608,"tamu","m",0.729255030895241,"Include"
2425611,"tamu","f",1.12342168025051,"Include"
2425612,"tamu","f",0.115788022580703,"Include"
2425622,"tamu","f",-0.117122821244518,"Include"
2425777,"tamu","f",-0.0646362040863977,"Include"
2425783,"tamu","f",0.265963349581929,"Include"
2425785,"tamu","f",0.0154427654973768,"Include"
2425794,"tamu","m",-0.589222232937895,"Include"
2425815,"tamu","f",0.747820579772816,"Include"
2425901,"tamu","f",0.019903686158793,"Include"
2425903,"tamu","f",-0.0842390741633881,"Include"
2425904,"tamu","f",0.611954893977506,"Include"
2426028,"tamu","f",1.07419069293484,"Include"
2426035,"tamu","f",0.481886988122686,"Include"
2426040,"tamu","m",0.0294546753743891,"Include"
2426042,"tamu","f",-0.492321637338016,"Include"
2426067,"tamu","m",0.133391639087235,"Include"
2426071,"tamu","m",0.331534646802714,"Include"
2426153,"tamu","f",0.630035951908831,"Include"
2426156,"tamu","f",0.152170505341193,"Include"
2426160,"tamu","f",0.83518486447636,"Include"
2426162,"tamu","m",0.0380546634498962,"Include"
2426169,"tamu","m",-0.331104615605537,"Include"
2426307,"tamu","m",0.55963844783055,"Include"
2426309,"tamu","f",0.0109604272390785,"Include"
2426320,"tamu","m",0.156662436672748,"Include"
2426433,"tamu","f",1.0523513431023,"Include"
2426436,"tamu","f",0.645414553906416,"Include"
2426441,"tamu","m",0.638237980957431,"Include"
2426558,"tamu","f",0.370176826726786,"Include"
2426560,"tamu","f",0.224804271353627,"Include"
2426564,"tamu","m",-0.186333718336605,"Include"
2426568,"tamu","m",0.472254241284176,"Include"
2426571,"tamu","m",0.360562897649262,"Include"
2426688,"tamu","m",0.460803633347377,"Include"
2426692,"tamu","f",1.37731505200579,"Include"
2426694,"tamu","f",0.886406136882745,"Include"
2426699,"tamu","m",-0.116374306832425,"Include"
2426838,"tamu","f",1.17896720918406,"Include"
2426842,"tamu","m",0.727910364032239,"Include"
2426844,"tamu","m",0.634409031193178,"Include"
2426847,"tamu","f",0.214165565718106,"Include"
2426854,"tamu","f",-0.356789243400123,"Include"
2426866,"tamu","m",0.444591900473231,"Include"
2428570,"tamu","f",0.942383782970634,"Include"
2428571,"tamu","m",-0.183430882431883,"Include"
2428572,"tamu","f",0.964257388796691,"Include"
2428574,"tamu","f",0.409785520583619,"Include"
2428575,"tamu","f",0.704534716733176,"Include"
2428668,"tamu","f",0.825363432591138,"Include"
2428758,"tamu","m",0.953600039814032,"Include"
2428759,"tamu","m",0.513162623345934,"Include"
2428762,"tamu","f",0.876327331854313,"Include"
2428764,"tamu","f",0.722902523387348,"Include"
2428846,"tamu","f",0.556415651989063,"Include"
2428847,"tamu","m",0.921394273735958,"Include"
2428848,"tamu","m",0.0852271054399878,"Include"
2428851,"tamu","f",-0.661610328861519,"Include"
2428930,"tamu","f",0.933171923974226,"Include"
2428942,"tamu","m",-0.120752340919277,"Include"
2428944,"tamu","f",1.04648381970428,"Include"
2429015,"tamu","f",0.87526837531403,"Include"
2429017,"tamu","f",0.61457621027098,"Include"
2429020,"tamu","f",0.76484886716517,"Include"
2429091,"tamu","f",0.404533813131348,"Include"
2429093,"tamu","f",0.261506808206953,"Include"
2429098,"tamu","f",0.689626279466285,"Include"
2429192,"tamu","m",-0.00983864178443616,"Include"
2429193,"tamu","f",0.455844574895108,"Include"
2429211,"tamu","m",-0.192908748906718,"Include"
2429343,"tamu","f",0.18998679153538,"Include"
2429345,"tamu","f",0.393729142964808,"Include"
2429351,"tamu","m",0.690500176667178,"Include"
2429353,"tamu","m",0.256095326683869,"Include"
2429354,"tamu","m",0.262763712905419,"Include"
2429513,"tamu","f",0.782398374551289,"Include"
2429516,"tamu","m",0.62941234259659,"Include"
2429593,"tamu","f",0.866727637312044,"Include"
2429598,"tamu","f",0.696432001597829,"Include"
2429605,"tamu","f",1.04140783921021,"Include"
2429628,"tamu","f",0.169328115072255,"Include"
2429631,"tamu","m",0.541400373756858,"Include"
2430828,"tamu","m",0.225826724343952,"Include"
2430833,"tamu","f",0.0908627066386936,"Include"
2430914,"tamu","f",0.450382291104839,"Include"
2430915,"tamu","f",0.632125648091431,"Include"
2430916,"tamu","f",0.481051466151081,"Include"
2430992,"tamu","f",0.568181038577026,"Include"
2430993,"tamu","f",0.46385196053205,"Include"
2430994,"tamu","f",0.14429804622616,"Include"
2430997,"tamu","f",0.508034759888508,"Include"
2431000,"tamu","m",0.173172763515299,"Include"
2431063,"tamu","f",0.281731161287982,"Include"
2431064,"tamu","f",0.978498216430159,"Include"
2431066,"tamu","f",-0.360459670652851,"Include"
2431067,"tamu","f",0.0714896946480596,"Include"
2431068,"tamu","f",0.770026068660956,"Include"
2431113,"tamu","m",0.227296756463337,"Include"
2431450,"tamu","f",-0.271032346964711,"Include"
2431454,"tamu","m",-0.0210734737301556,"Include"
2431456,"tamu","f",0.592618492435707,"Include"
2431577,"tamu","f",0.797071221450443,"Include"
2431581,"tamu","m",-0.329653803403953,"Include"
2431605,"tamu","f",0.0148714782824339,"Include"
