"session_id","referrer","sex","d_art","iat_exclude"
2451755,"wisc","f",0.299675156043721,"Include"
2451756,"wisc","m",-0.193655035916074,"Include"
2451762,"wisc","f",1.08583080591344,"Include"
2451763,"wisc","f",-0.572666928129662,"Include"
2451765,"wisc","f",-0.135005811432856,"Include"
2451768,"wisc","f",-0.504589427587527,"Include"
2451769,"wisc","f",0.629456155733778,"Include"
2451773,"wisc","f",0.307320209358083,"Include"
2451775,"wisc","m",-0.639426204725135,"Include"
2451782,"wisc","f",1.03735811116915,"Include"
2451811,"wisc","m",0.335041278438525,"Include"
2451854,"wisc","m",0.426798835244093,"Include"
2451914,"wisc","m",1.24572540425478,"Include"
2451915,"wisc","f",1.00561204774586,"Include"
2451918,"wisc","f",0.517890928607369,"Include"
2451920,"wisc","f",0.501526963699559,"Include"
2451921,"wisc","f",0.526273027457578,"Include"
2451924,"wisc","f",1.13400979820296,"Include"
2451926,"wisc","m",-0.40055629923605,"Include"
2451927,"wisc","f",0.213392403659717,"Include"
2451929,"wisc","f",1.02903607437005,"Include"
2451942,"wisc","f",0.512021938451136,"Include"
2451979,"wisc","f",0.927089706580415,"Include"
2451983,"wisc","m",0.4578713142994,"Include"
2461615,"wisc","f",0.341661203443532,"Include"
2461618,"wisc","f",0.900590503721065,"Include"
2461619,"wisc","f",0.655292595723628,"Include"
2461623,"wisc","f",1.08428602389791,"Include"
2461641,"wisc","f",0.484908113095612,"Include"
2461643,"wisc","f",1.22687452385859,"Include"
2461658,"wisc","f",1.06570733807755,"Include"
2461749,"wisc","f",0.110588296200152,"Include"
2461756,"wisc","f",-0.294276623782546,"Include"
2461774,"wisc","f",0.593984447451732,"Include"
2461788,"wisc","f",0.458308284986967,"Include"
2461790,"wisc","m",0.029620320276337,"Include"
2461792,"wisc","f",0.484889388699068,"Include"
2461806,"wisc","f",1.01629538329474,"Include"
2461810,"wisc","m",1.23512720923999,"Include"
2461899,"wisc","f",0.832684941702795,"Include"
2461906,"wisc","f",1.16976632279584,"Include"
2461911,"wisc","f",0.758047680358756,"Include"
2461913,"wisc","m",0.610317626982159,"Include"
2461915,"wisc","m",0.903168603141655,"Include"
2461918,"wisc","f",0.615794497514796,"Include"
2461920,"wisc","f",0.72878966410334,"Include"
2461921,"wisc","m",-0.0247216526484982,"Include"
2461924,"wisc","f",0.673687994061766,"Include"
2461974,"wisc","f",0.864618989442387,"Include"
2461982,"wisc","f",1.02315068849728,"Include"
2461986,"wisc","f",1.10909120720704,"Include"
2461988,"wisc","f",0.236875509822109,"Include"
2461994,"wisc","f",0.0933466517058377,"Include"
2462000,"wisc","f",0.627117574318528,"Include"
2462005,"wisc","f",0.934953111016662,"Include"
2462007,"wisc","m",-0.0970469686167507,"Include"
2462009,"wisc","f",0.781770392551439,"Include"
2462013,"wisc","f",0.263915477858099,"Include"
2462014,"wisc","f",1.04626118699237,"Include"
2462063,"wisc","f",0.750154497561973,"Include"
2462080,"wisc","m",-0.240269314444961,"Include"
2462088,"wisc","f",1.07365222330008,"Include"
2462094,"wisc","f",1.02700143911941,"Include"
2462102,"wisc","f",0.25356747589044,"Include"
2462104,"wisc","f",1.0322239490826,"Include"
2462128,"wisc","f",0.132405421741436,"Include"
2462132,"wisc","f",0.368875213588582,"Include"
2462133,"wisc","f",0.895829804541374,"Include"
2462152,"wisc","f",0.402750607416071,"Include"
2462184,"wisc","f",0.976310801133485,"Include"
2462186,"wisc","f",0.75141319491866,"Include"
2462187,"wisc","f",0.774000897442646,"Include"
2462194,"wisc","f",0.269768116283237,"Include"
2465656,"wisc","f",0.351706277454173,"Include"
2465659,"wisc","f",1.01873101433256,"Include"
2465663,"wisc","f",0.513310011678028,"Include"
2465664,"wisc","f",0.205406579013413,"Include"
2465666,"wisc","f",-0.287523020382797,"Include"
2465667,"wisc","m",0.0204782470994311,"Include"
2465671,"wisc","m",0.234976685076813,"Include"
2465672,"wisc","f",0.959861769753967,"Include"
2465677,"wisc","f",0.568190869850943,"Include"
2465714,"wisc","f",1.17546502245771,"Include"
2465716,"wisc","f",0.36350648712405,"Include"
2477363,"wisc","f",0.82839560531844,"Include"
2477365,"wisc","f",0.476804773106255,"Include"
2477368,"wisc","f",0.639782292267673,"Include"
2477371,"wisc","f",1.0962249826052,"Include"
2477374,"wisc","f",0.0749691821885651,"Include"
2477375,"wisc","f",0.814704997744302,"Include"
2477418,"wisc","f",0.25841881468563,"Include"
